,Color,Block size,Num. coeffs,Distance measure,Feature vec. dim.,MAP@1,MAP@5
0,gray,256,64,L1,64.0,0.9333333333333333,0.94
1,gray,256,64,L2,64.0,0.7333333333333333,0.7733333333333333
2,gray,256,64,Cosine,64.0,0.9666666666666667,0.9666666666666667
3,gray,256,64,Pearson,64.0,0.9666666666666667,0.9666666666666667
4,gray,256,32,L1,32.0,0.8666666666666667,0.9
5,gray,256,32,L2,32.0,0.6666666666666666,0.7083333333333334
6,gray,256,32,Cosine,32.0,0.9666666666666667,0.9666666666666667
7,gray,256,32,Pearson,32.0,0.9666666666666667,0.9666666666666667
8,gray,256,16,L1,16.0,0.7333333333333333,0.7722222222222223
9,gray,256,16,L2,16.0,0.6333333333333333,0.6566666666666666
10,gray,256,16,Cosine,16.0,0.9333333333333333,0.95
11,gray,256,16,Pearson,16.0,0.9333333333333333,0.9444444444444444
12,gray,256,8,L1,8.0,0.6333333333333333,0.6805555555555555
13,gray,256,8,L2,8.0,0.5,0.5333333333333333
14,gray,256,8,Cosine,8.0,0.8,0.8666666666666667
15,gray,256,8,Pearson,8.0,0.6333333333333333,0.75
16,gray,256,4,L1,4.0,0.3,0.3788888888888889
17,gray,256,4,L2,4.0,0.3,0.38
18,gray,256,4,Cosine,4.0,0.26666666666666666,0.41444444444444445
19,gray,256,4,Pearson,4.0,0.03333333333333333,0.125
20,gray,128,64,L1,256.0,0.9333333333333333,0.94
21,gray,128,64,L2,256.0,0.8,0.825
22,gray,128,64,Cosine,256.0,0.9666666666666667,0.975
23,gray,128,64,Pearson,256.0,0.9666666666666667,0.975
24,gray,128,32,L1,128.0,0.9333333333333333,0.9333333333333333
25,gray,128,32,L2,128.0,0.8,0.8111111111111112
26,gray,128,32,Cosine,128.0,0.9666666666666667,0.9666666666666667
27,gray,128,32,Pearson,128.0,0.9666666666666667,0.9666666666666667
28,gray,128,16,L1,64.0,0.9,0.9166666666666666
29,gray,128,16,L2,64.0,0.7666666666666667,0.7899999999999999
30,gray,128,16,Cosine,64.0,0.9666666666666667,0.9666666666666667
31,gray,128,16,Pearson,64.0,0.9666666666666667,0.9666666666666667
32,gray,128,8,L1,32.0,0.7666666666666667,0.7916666666666666
33,gray,128,8,L2,32.0,0.6666666666666666,0.7011111111111111
34,gray,128,8,Cosine,32.0,0.9666666666666667,0.9666666666666667
35,gray,128,8,Pearson,32.0,0.9333333333333333,0.95
36,gray,128,4,L1,16.0,0.6666666666666666,0.6883333333333332
37,gray,128,4,L2,16.0,0.6,0.6166666666666667
38,gray,128,4,Cosine,16.0,0.9,0.925
39,gray,128,4,Pearson,16.0,0.9,0.9233333333333333
40,gray,64,64,L1,1024.0,0.9,0.9066666666666666
41,gray,64,64,L2,1024.0,0.8666666666666667,0.875
42,gray,64,64,Cosine,1024.0,1.0,1.0
43,gray,64,64,Pearson,1024.0,1.0,1.0
44,gray,64,32,L1,512.0,0.9333333333333333,0.9333333333333333
45,gray,64,32,L2,512.0,0.8333333333333334,0.8483333333333333
46,gray,64,32,Cosine,512.0,0.9666666666666667,0.9833333333333333
47,gray,64,32,Pearson,512.0,0.9666666666666667,0.9833333333333333
48,gray,64,16,L1,256.0,0.9,0.9166666666666666
49,gray,64,16,L2,256.0,0.8,0.825
50,gray,64,16,Cosine,256.0,0.9666666666666667,0.975
51,gray,64,16,Pearson,256.0,0.9666666666666667,0.975
52,gray,64,8,L1,128.0,0.8333333333333334,0.8555555555555556
53,gray,64,8,L2,128.0,0.8,0.8111111111111112
54,gray,64,8,Cosine,128.0,0.9666666666666667,0.9666666666666667
55,gray,64,8,Pearson,128.0,0.9666666666666667,0.9666666666666667
56,gray,64,4,L1,64.0,0.8,0.8166666666666667
57,gray,64,4,L2,64.0,0.7333333333333333,0.7611111111111112
58,gray,64,4,Cosine,64.0,0.9666666666666667,0.9666666666666667
59,gray,64,4,Pearson,64.0,0.9666666666666667,0.9666666666666667
60,gray,32,64,L1,4096.0,0.8,0.8222222222222222
61,gray,32,64,L2,4096.0,0.8,0.8277777777777778
62,gray,32,64,Cosine,4096.0,0.9666666666666667,0.9666666666666667
63,gray,32,64,Pearson,4096.0,0.9666666666666667,0.9666666666666667
64,gray,32,32,L1,2048.0,0.8666666666666667,0.8844444444444444
65,gray,32,32,L2,2048.0,0.8333333333333334,0.8583333333333333
66,gray,32,32,Cosine,2048.0,1.0,1.0
67,gray,32,32,Pearson,2048.0,1.0,1.0
68,gray,32,16,L1,1024.0,0.9,0.9066666666666666
69,gray,32,16,L2,1024.0,0.8333333333333334,0.8527777777777779
70,gray,32,16,Cosine,1024.0,1.0,1.0
71,gray,32,16,Pearson,1024.0,1.0,1.0
72,gray,32,8,L1,512.0,0.9,0.9
73,gray,32,8,L2,512.0,0.8333333333333334,0.8483333333333333
74,gray,32,8,Cosine,512.0,0.9666666666666667,0.975
75,gray,32,8,Pearson,512.0,0.9666666666666667,0.975
76,gray,32,4,L1,256.0,0.8666666666666667,0.875
77,gray,32,4,L2,256.0,0.8,0.825
78,gray,32,4,Cosine,256.0,0.9666666666666667,0.975
79,gray,32,4,Pearson,256.0,0.9666666666666667,0.975
80,gray,16,64,L1,16384.0,0.6333333333333333,0.6722222222222222
81,gray,16,64,L2,16384.0,0.7666666666666667,0.8083333333333333
82,gray,16,64,Cosine,16384.0,0.9333333333333333,0.9444444444444444
83,gray,16,64,Pearson,16384.0,0.9333333333333333,0.9444444444444444
84,gray,16,32,L1,8192.0,0.7333333333333333,0.7844444444444444
85,gray,16,32,L2,8192.0,0.8,0.8277777777777778
86,gray,16,32,Cosine,8192.0,0.9666666666666667,0.9666666666666667
87,gray,16,32,Pearson,8192.0,0.9333333333333333,0.95
88,gray,16,16,L1,4096.0,0.8333333333333334,0.85
89,gray,16,16,L2,4096.0,0.8,0.825
90,gray,16,16,Cosine,4096.0,0.9666666666666667,0.9777777777777779
91,gray,16,16,Pearson,4096.0,0.9666666666666667,0.9777777777777779
92,gray,16,8,L1,2048.0,0.8333333333333334,0.8666666666666667
93,gray,16,8,L2,2048.0,0.8333333333333334,0.8583333333333333
94,gray,16,8,Cosine,2048.0,1.0,1.0
95,gray,16,8,Pearson,2048.0,1.0,1.0
96,gray,16,4,L1,1024.0,0.8666666666666667,0.875
97,gray,16,4,L2,1024.0,0.8333333333333334,0.8583333333333333
98,gray,16,4,Cosine,1024.0,1.0,1.0
99,gray,16,4,Pearson,1024.0,1.0,1.0
100,gray,8,64,L1,65536.0,0.36666666666666664,0.38611111111111107
101,gray,8,64,L2,65536.0,0.7,0.7444444444444446
102,gray,8,64,Cosine,65536.0,0.9,0.9083333333333333
103,gray,8,64,Pearson,65536.0,0.9,0.9083333333333333
104,gray,8,32,L1,32768.0,0.5,0.55
105,gray,8,32,L2,32768.0,0.7666666666666667,0.7944444444444445
106,gray,8,32,Cosine,32768.0,0.9333333333333333,0.9444444444444444
107,gray,8,32,Pearson,32768.0,0.9333333333333333,0.9444444444444444
108,gray,8,16,L1,16384.0,0.6666666666666666,0.7177777777777777
109,gray,8,16,L2,16384.0,0.7666666666666667,0.8083333333333333
110,gray,8,16,Cosine,16384.0,0.9333333333333333,0.9444444444444444
111,gray,8,16,Pearson,16384.0,0.9333333333333333,0.9444444444444444
112,gray,8,8,L1,8192.0,0.7333333333333333,0.7816666666666666
113,gray,8,8,L2,8192.0,0.8,0.8222222222222223
114,gray,8,8,Cosine,8192.0,0.9666666666666667,0.9666666666666667
115,gray,8,8,Pearson,8192.0,0.9666666666666667,0.9666666666666667
116,gray,8,4,L1,4096.0,0.8,0.8194444444444445
117,gray,8,4,L2,4096.0,0.8,0.8305555555555556
118,gray,8,4,Cosine,4096.0,0.9666666666666667,0.9777777777777779
119,gray,8,4,Pearson,4096.0,0.9666666666666667,0.9833333333333333
120,L,256,64,L1,64.0,0.9666666666666667,0.9666666666666667
121,L,256,64,L2,64.0,0.7333333333333333,0.7622222222222222
122,L,256,64,Cosine,64.0,0.9666666666666667,0.9666666666666667
123,L,256,64,Pearson,64.0,0.9666666666666667,0.9666666666666667
124,L,256,32,L1,32.0,0.9,0.9166666666666666
125,L,256,32,L2,32.0,0.6666666666666666,0.7027777777777778
126,L,256,32,Cosine,32.0,0.9333333333333333,0.95
127,L,256,32,Pearson,32.0,0.9333333333333333,0.95
128,L,256,16,L1,16.0,0.7333333333333333,0.7899999999999999
129,L,256,16,L2,16.0,0.6333333333333333,0.6583333333333333
130,L,256,16,Cosine,16.0,0.9,0.925
131,L,256,16,Pearson,16.0,0.9,0.9166666666666666
132,L,256,8,L1,8.0,0.7,0.7333333333333333
133,L,256,8,L2,8.0,0.5,0.5472222222222222
134,L,256,8,Cosine,8.0,0.8,0.8666666666666667
135,L,256,8,Pearson,8.0,0.6,0.7361111111111112
136,L,256,4,L1,4.0,0.3333333333333333,0.4027777777777778
137,L,256,4,L2,4.0,0.3,0.38555555555555554
138,L,256,4,Cosine,4.0,0.26666666666666666,0.39499999999999996
139,L,256,4,Pearson,4.0,0.03333333333333333,0.13444444444444445
140,L,128,64,L1,256.0,0.9333333333333333,0.95
141,L,128,64,L2,256.0,0.8333333333333334,0.8444444444444446
142,L,128,64,Cosine,256.0,0.9666666666666667,0.975
143,L,128,64,Pearson,256.0,0.9666666666666667,0.9666666666666667
144,L,128,32,L1,128.0,0.9333333333333333,0.9333333333333333
145,L,128,32,L2,128.0,0.8,0.825
146,L,128,32,Cosine,128.0,0.9666666666666667,0.9666666666666667
147,L,128,32,Pearson,128.0,0.9666666666666667,0.9666666666666667
148,L,128,16,L1,64.0,0.9333333333333333,0.9333333333333333
149,L,128,16,L2,64.0,0.7333333333333333,0.7677777777777778
150,L,128,16,Cosine,64.0,0.9666666666666667,0.9666666666666667
151,L,128,16,Pearson,64.0,0.9666666666666667,0.9666666666666667
152,L,128,8,L1,32.0,0.8,0.825
153,L,128,8,L2,32.0,0.6666666666666666,0.6955555555555556
154,L,128,8,Cosine,32.0,0.9,0.9333333333333333
155,L,128,8,Pearson,32.0,0.9333333333333333,0.95
156,L,128,4,L1,16.0,0.7,0.7166666666666667
157,L,128,4,L2,16.0,0.6333333333333333,0.6333333333333333
158,L,128,4,Cosine,16.0,0.9,0.9166666666666666
159,L,128,4,Pearson,16.0,0.8666666666666667,0.9
160,L,64,64,L1,1024.0,0.9333333333333333,0.9483333333333334
161,L,64,64,L2,1024.0,0.8333333333333334,0.8666666666666667
162,L,64,64,Cosine,1024.0,1.0,1.0
163,L,64,64,Pearson,1024.0,1.0,1.0
164,L,64,32,L1,512.0,0.9333333333333333,0.94
165,L,64,32,L2,512.0,0.8333333333333334,0.8583333333333333
166,L,64,32,Cosine,512.0,0.9666666666666667,0.9833333333333333
167,L,64,32,Pearson,512.0,0.9666666666666667,0.9833333333333333
168,L,64,16,L1,256.0,0.9333333333333333,0.9333333333333333
169,L,64,16,L2,256.0,0.8333333333333334,0.8444444444444446
170,L,64,16,Cosine,256.0,0.9666666666666667,0.9666666666666667
171,L,64,16,Pearson,256.0,0.9666666666666667,0.9666666666666667
172,L,64,8,L1,128.0,0.8666666666666667,0.89
173,L,64,8,L2,128.0,0.8,0.8166666666666667
174,L,64,8,Cosine,128.0,0.9666666666666667,0.9666666666666667
175,L,64,8,Pearson,128.0,0.9666666666666667,0.9666666666666667
176,L,64,4,L1,64.0,0.7666666666666667,0.8
177,L,64,4,L2,64.0,0.7333333333333333,0.7583333333333333
178,L,64,4,Cosine,64.0,0.9666666666666667,0.9666666666666667
179,L,64,4,Pearson,64.0,0.9666666666666667,0.9666666666666667
180,L,32,64,L1,4096.0,0.8,0.836111111111111
181,L,32,64,L2,4096.0,0.8,0.8333333333333334
182,L,32,64,Cosine,4096.0,0.9666666666666667,0.9666666666666667
183,L,32,64,Pearson,4096.0,0.9666666666666667,0.9666666666666667
184,L,32,32,L1,2048.0,0.8666666666666667,0.8816666666666666
185,L,32,32,L2,2048.0,0.8333333333333334,0.8611111111111112
186,L,32,32,Cosine,2048.0,1.0,1.0
187,L,32,32,Pearson,2048.0,1.0,1.0
188,L,32,16,L1,1024.0,0.9,0.9083333333333333
189,L,32,16,L2,1024.0,0.8333333333333334,0.8666666666666667
190,L,32,16,Cosine,1024.0,1.0,1.0
191,L,32,16,Pearson,1024.0,1.0,1.0
192,L,32,8,L1,512.0,0.9,0.9
193,L,32,8,L2,512.0,0.8333333333333334,0.8583333333333333
194,L,32,8,Cosine,512.0,0.9666666666666667,0.975
195,L,32,8,Pearson,512.0,0.9666666666666667,0.975
196,L,32,4,L1,256.0,0.8666666666666667,0.8833333333333333
197,L,32,4,L2,256.0,0.8333333333333334,0.8444444444444446
198,L,32,4,Cosine,256.0,0.9666666666666667,0.975
199,L,32,4,Pearson,256.0,0.9666666666666667,0.975
200,L,16,64,L1,16384.0,0.6,0.6622222222222222
201,L,16,64,L2,16384.0,0.8333333333333334,0.85
202,L,16,64,Cosine,16384.0,0.9333333333333333,0.9444444444444444
203,L,16,64,Pearson,16384.0,0.9333333333333333,0.9444444444444444
204,L,16,32,L1,8192.0,0.8,0.8277777777777777
205,L,16,32,L2,8192.0,0.8,0.8333333333333334
206,L,16,32,Cosine,8192.0,0.9666666666666667,0.9666666666666667
207,L,16,32,Pearson,8192.0,0.9666666666666667,0.9666666666666667
208,L,16,16,L1,4096.0,0.8666666666666667,0.8666666666666667
209,L,16,16,L2,4096.0,0.8,0.8333333333333334
210,L,16,16,Cosine,4096.0,0.9666666666666667,0.9666666666666667
211,L,16,16,Pearson,4096.0,0.9666666666666667,0.9666666666666667
212,L,16,8,L1,2048.0,0.8666666666666667,0.8833333333333333
213,L,16,8,L2,2048.0,0.8,0.85
214,L,16,8,Cosine,2048.0,1.0,1.0
215,L,16,8,Pearson,2048.0,1.0,1.0
216,L,16,4,L1,1024.0,0.8333333333333334,0.8611111111111112
217,L,16,4,L2,1024.0,0.8,0.8416666666666667
218,L,16,4,Cosine,1024.0,1.0,1.0
219,L,16,4,Pearson,1024.0,1.0,1.0
220,L,8,64,L1,65536.0,0.3333333333333333,0.3722222222222222
221,L,8,64,L2,65536.0,0.7,0.765
222,L,8,64,Cosine,65536.0,0.9,0.9083333333333333
223,L,8,64,Pearson,65536.0,0.9,0.9083333333333333
224,L,8,32,L1,32768.0,0.5,0.5527777777777778
225,L,8,32,L2,32768.0,0.8333333333333334,0.8416666666666667
226,L,8,32,Cosine,32768.0,0.9333333333333333,0.9444444444444444
227,L,8,32,Pearson,32768.0,0.9333333333333333,0.9444444444444444
228,L,8,16,L1,16384.0,0.6666666666666666,0.75
229,L,8,16,L2,16384.0,0.8333333333333334,0.85
230,L,8,16,Cosine,16384.0,0.9333333333333333,0.9444444444444444
231,L,8,16,Pearson,16384.0,0.9333333333333333,0.9444444444444444
232,L,8,8,L1,8192.0,0.7333333333333333,0.788888888888889
233,L,8,8,L2,8192.0,0.8,0.8333333333333334
234,L,8,8,Cosine,8192.0,0.9666666666666667,0.9666666666666667
235,L,8,8,Pearson,8192.0,0.9666666666666667,0.9666666666666667
236,L,8,4,L1,4096.0,0.8,0.825
237,L,8,4,L2,4096.0,0.8,0.8333333333333334
238,L,8,4,Cosine,4096.0,0.9666666666666667,0.975
239,L,8,4,Pearson,4096.0,0.9666666666666667,0.975
240,V,256,64,L1,64.0,0.9666666666666667,0.975
241,V,256,64,L2,64.0,0.7333333333333333,0.7733333333333333
242,V,256,64,Cosine,64.0,0.9666666666666667,0.9666666666666667
243,V,256,64,Pearson,64.0,0.9666666666666667,0.9666666666666667
244,V,256,32,L1,32.0,0.9,0.9299999999999999
245,V,256,32,L2,32.0,0.6333333333333333,0.6944444444444445
246,V,256,32,Cosine,32.0,0.9333333333333333,0.95
247,V,256,32,Pearson,32.0,0.9333333333333333,0.95
248,V,256,16,L1,16.0,0.7666666666666667,0.8138888888888889
249,V,256,16,L2,16.0,0.6,0.6416666666666667
250,V,256,16,Cosine,16.0,0.8666666666666667,0.9111111111111111
251,V,256,16,Pearson,16.0,0.9,0.9277777777777777
252,V,256,8,L1,8.0,0.6333333333333333,0.6944444444444444
253,V,256,8,L2,8.0,0.43333333333333335,0.5222222222222223
254,V,256,8,Cosine,8.0,0.8333333333333334,0.8694444444444444
255,V,256,8,Pearson,8.0,0.7,0.8055555555555555
256,V,256,4,L1,4.0,0.2,0.31333333333333335
257,V,256,4,L2,4.0,0.2,0.2833333333333334
258,V,256,4,Cosine,4.0,0.26666666666666666,0.38722222222222225
259,V,256,4,Pearson,4.0,0.03333333333333333,0.12222222222222222
260,V,128,64,L1,256.0,0.9333333333333333,0.9566666666666667
261,V,128,64,L2,256.0,0.8666666666666667,0.8666666666666667
262,V,128,64,Cosine,256.0,0.9666666666666667,0.975
263,V,128,64,Pearson,256.0,0.9666666666666667,0.975
264,V,128,32,L1,128.0,0.9,0.9316666666666666
265,V,128,32,L2,128.0,0.8333333333333334,0.8444444444444446
266,V,128,32,Cosine,128.0,0.9666666666666667,0.9666666666666667
267,V,128,32,Pearson,128.0,0.9666666666666667,0.9666666666666667
268,V,128,16,L1,64.0,0.9,0.9194444444444445
269,V,128,16,L2,64.0,0.7333333333333333,0.7611111111111111
270,V,128,16,Cosine,64.0,0.9666666666666667,0.9666666666666667
271,V,128,16,Pearson,64.0,0.9666666666666667,0.9666666666666667
272,V,128,8,L1,32.0,0.8333333333333334,0.8577777777777779
273,V,128,8,L2,32.0,0.6333333333333333,0.6833333333333333
274,V,128,8,Cosine,32.0,0.9333333333333333,0.95
275,V,128,8,Pearson,32.0,0.9333333333333333,0.95
276,V,128,4,L1,16.0,0.6333333333333333,0.6777777777777778
277,V,128,4,L2,16.0,0.5666666666666667,0.6133333333333333
278,V,128,4,Cosine,16.0,0.9,0.925
279,V,128,4,Pearson,16.0,0.9,0.9333333333333333
280,V,64,64,L1,1024.0,0.9333333333333333,0.9416666666666667
281,V,64,64,L2,1024.0,0.8333333333333334,0.85
282,V,64,64,Cosine,1024.0,1.0,1.0
283,V,64,64,Pearson,1024.0,1.0,1.0
284,V,64,32,L1,512.0,0.9333333333333333,0.9416666666666667
285,V,64,32,L2,512.0,0.8666666666666667,0.8666666666666667
286,V,64,32,Cosine,512.0,0.9666666666666667,0.9833333333333333
287,V,64,32,Pearson,512.0,0.9666666666666667,0.9833333333333333
288,V,64,16,L1,256.0,0.9333333333333333,0.9416666666666667
289,V,64,16,L2,256.0,0.8666666666666667,0.8666666666666667
290,V,64,16,Cosine,256.0,0.9666666666666667,0.975
291,V,64,16,Pearson,256.0,0.9666666666666667,0.975
292,V,64,8,L1,128.0,0.8666666666666667,0.8983333333333333
293,V,64,8,L2,128.0,0.7666666666666667,0.8055555555555556
294,V,64,8,Cosine,128.0,0.9666666666666667,0.9666666666666667
295,V,64,8,Pearson,128.0,0.9666666666666667,0.9666666666666667
296,V,64,4,L1,64.0,0.7666666666666667,0.8
297,V,64,4,L2,64.0,0.7,0.75
298,V,64,4,Cosine,64.0,0.9333333333333333,0.95
299,V,64,4,Pearson,64.0,0.9333333333333333,0.95
300,V,32,64,L1,4096.0,0.8333333333333334,0.8583333333333333
301,V,32,64,L2,4096.0,0.8333333333333334,0.8483333333333333
302,V,32,64,Cosine,4096.0,0.9666666666666667,0.9733333333333333
303,V,32,64,Pearson,4096.0,0.9666666666666667,0.9733333333333333
304,V,32,32,L1,2048.0,0.8666666666666667,0.8816666666666666
305,V,32,32,L2,2048.0,0.8333333333333334,0.855
306,V,32,32,Cosine,2048.0,1.0,1.0
307,V,32,32,Pearson,2048.0,1.0,1.0
308,V,32,16,L1,1024.0,0.9333333333333333,0.9416666666666667
309,V,32,16,L2,1024.0,0.8666666666666667,0.8666666666666667
310,V,32,16,Cosine,1024.0,1.0,1.0
311,V,32,16,Pearson,1024.0,1.0,1.0
312,V,32,8,L1,512.0,0.8666666666666667,0.9083333333333333
313,V,32,8,L2,512.0,0.8666666666666667,0.8666666666666667
314,V,32,8,Cosine,512.0,0.9666666666666667,0.975
315,V,32,8,Pearson,512.0,0.9666666666666667,0.975
316,V,32,4,L1,256.0,0.8333333333333334,0.851111111111111
317,V,32,4,L2,256.0,0.8333333333333334,0.85
318,V,32,4,Cosine,256.0,0.9666666666666667,0.975
319,V,32,4,Pearson,256.0,0.9666666666666667,0.975
320,V,16,64,L1,16384.0,0.6666666666666666,0.73
321,V,16,64,L2,16384.0,0.8333333333333334,0.8416666666666667
322,V,16,64,Cosine,16384.0,0.9333333333333333,0.95
323,V,16,64,Pearson,16384.0,0.9333333333333333,0.95
324,V,16,32,L1,8192.0,0.7666666666666667,0.8083333333333333
325,V,16,32,L2,8192.0,0.8333333333333334,0.8416666666666667
326,V,16,32,Cosine,8192.0,0.9666666666666667,0.9666666666666667
327,V,16,32,Pearson,8192.0,0.9666666666666667,0.9666666666666667
328,V,16,16,L1,4096.0,0.8333333333333334,0.8527777777777779
329,V,16,16,L2,4096.0,0.8333333333333334,0.8483333333333333
330,V,16,16,Cosine,4096.0,0.9666666666666667,0.975
331,V,16,16,Pearson,4096.0,0.9666666666666667,0.975
332,V,16,8,L1,2048.0,0.8333333333333334,0.8527777777777779
333,V,16,8,L2,2048.0,0.8333333333333334,0.85
334,V,16,8,Cosine,2048.0,1.0,1.0
335,V,16,8,Pearson,2048.0,1.0,1.0
336,V,16,4,L1,1024.0,0.8333333333333334,0.8416666666666667
337,V,16,4,L2,1024.0,0.8333333333333334,0.8416666666666667
338,V,16,4,Cosine,1024.0,1.0,1.0
339,V,16,4,Pearson,1024.0,1.0,1.0
340,V,8,64,L1,65536.0,0.3333333333333333,0.3861111111111111
341,V,8,64,L2,65536.0,0.8,0.825
342,V,8,64,Cosine,65536.0,0.9,0.9083333333333333
343,V,8,64,Pearson,65536.0,0.9,0.9083333333333333
344,V,8,32,L1,32768.0,0.5333333333333333,0.6455555555555555
345,V,8,32,L2,32768.0,0.8333333333333334,0.8416666666666667
346,V,8,32,Cosine,32768.0,0.9333333333333333,0.9416666666666667
347,V,8,32,Pearson,32768.0,0.9333333333333333,0.9416666666666667
348,V,8,16,L1,16384.0,0.8,0.825
349,V,8,16,L2,16384.0,0.8333333333333334,0.8416666666666667
350,V,8,16,Cosine,16384.0,0.9333333333333333,0.95
351,V,8,16,Pearson,16384.0,0.9333333333333333,0.95
352,V,8,8,L1,8192.0,0.8333333333333334,0.8416666666666667
353,V,8,8,L2,8192.0,0.8333333333333334,0.8416666666666667
354,V,8,8,Cosine,8192.0,0.9666666666666667,0.9666666666666667
355,V,8,8,Pearson,8192.0,0.9666666666666667,0.9666666666666667
356,V,8,4,L1,4096.0,0.8333333333333334,0.8416666666666667
357,V,8,4,L2,4096.0,0.8333333333333334,0.8416666666666667
358,V,8,4,Cosine,4096.0,0.9666666666666667,0.9833333333333333
359,V,8,4,Pearson,4096.0,0.9666666666666667,0.9833333333333333
