Color,Rescale,Radius,Points,Method,Blocks,Distance,MAP@1,MAP@5
gray,True,1,8,default,1,intersection,0.2333333333333333,0.2861111111111111
gray,True,1,8,default,1,correlation,0.2333333333333333,0.2816666666666666
gray,True,1,8,default,1,bhattacharyya,0.3,0.325
gray,True,1,8,default,4,intersection,0.4,0.4511111111111111
gray,True,1,8,default,4,correlation,0.4,0.4305555555555555
gray,True,1,8,default,4,bhattacharyya,0.4666666666666667,0.5055555555555555
gray,True,1,8,default,16,intersection,0.6,0.6261111111111111
gray,True,1,8,default,16,correlation,0.5666666666666667,0.5833333333333334
gray,True,1,8,default,16,bhattacharyya,0.6,0.6261111111111111
gray,True,1,8,default,64,intersection,0.8333333333333334,0.8955555555555555
gray,True,1,8,default,64,correlation,0.7333333333333333,0.801111111111111
gray,True,1,8,default,64,bhattacharyya,0.7666666666666667,0.8455555555555556
gray,True,1,8,ror,1,intersection,0.0666666666666666,0.0944444444444444
gray,True,1,8,ror,1,correlation,0.0666666666666666,0.0966666666666666
gray,True,1,8,ror,1,bhattacharyya,0.1,0.1166666666666666
gray,True,1,8,ror,4,intersection,0.2,0.2277777777777777
gray,True,1,8,ror,4,correlation,0.2,0.2177777777777777
gray,True,1,8,ror,4,bhattacharyya,0.2,0.2344444444444444
gray,True,1,8,ror,16,intersection,0.3333333333333333,0.3633333333333333
gray,True,1,8,ror,16,correlation,0.3333333333333333,0.3899999999999999
gray,True,1,8,ror,16,bhattacharyya,0.3333333333333333,0.3483333333333333
gray,True,1,8,ror,64,intersection,0.4666666666666667,0.5
gray,True,1,8,ror,64,correlation,0.5333333333333333,0.55
gray,True,1,8,ror,64,bhattacharyya,0.5,0.5222222222222223
gray,True,1,8,uniform,1,intersection,0.0666666666666666,0.0861111111111111
gray,True,1,8,uniform,1,correlation,0.0666666666666666,0.0777777777777777
gray,True,1,8,uniform,1,bhattacharyya,0.0666666666666666,0.09
gray,True,1,8,uniform,4,intersection,0.2,0.2177777777777777
gray,True,1,8,uniform,4,correlation,0.2,0.2244444444444444
gray,True,1,8,uniform,4,bhattacharyya,0.2,0.2133333333333333
gray,True,1,8,uniform,16,intersection,0.3333333333333333,0.3483333333333333
gray,True,1,8,uniform,16,correlation,0.3,0.3416666666666667
gray,True,1,8,uniform,16,bhattacharyya,0.3,0.3305555555555555
gray,True,1,8,uniform,64,intersection,0.4666666666666667,0.4833333333333333
gray,True,1,8,uniform,64,correlation,0.5,0.5333333333333333
gray,True,1,8,uniform,64,bhattacharyya,0.4666666666666667,0.4944444444444444
gray,True,2,10,default,1,intersection,0.4333333333333333,0.5011111111111111
gray,True,2,10,default,1,correlation,0.4,0.45
gray,True,2,10,default,1,bhattacharyya,0.5,0.5427777777777777
gray,True,2,10,default,4,intersection,0.7,0.736111111111111
gray,True,2,10,default,4,correlation,0.6666666666666666,0.7161111111111111
gray,True,2,10,default,4,bhattacharyya,0.6666666666666666,0.7333333333333333
gray,True,2,10,default,16,intersection,0.9,0.9333333333333332
gray,True,2,10,default,16,correlation,0.8666666666666667,0.9333333333333332
gray,True,2,10,default,16,bhattacharyya,0.8,0.8444444444444446
gray,True,2,10,default,64,intersection,1.0,1.0
gray,True,2,10,default,64,correlation,1.0,1.0
gray,True,2,10,default,64,bhattacharyya,1.0,1.0
gray,True,2,10,ror,1,intersection,0.1333333333333333,0.1777777777777777
gray,True,2,10,ror,1,correlation,0.1333333333333333,0.1733333333333333
gray,True,2,10,ror,1,bhattacharyya,0.1666666666666666,0.2133333333333333
gray,True,2,10,ror,4,intersection,0.3333333333333333,0.3583333333333333
gray,True,2,10,ror,4,correlation,0.3333333333333333,0.375
gray,True,2,10,ror,4,bhattacharyya,0.3,0.375
gray,True,2,10,ror,16,intersection,0.4666666666666667,0.5
gray,True,2,10,ror,16,correlation,0.4666666666666667,0.53
gray,True,2,10,ror,16,bhattacharyya,0.5,0.5111111111111112
gray,True,2,10,ror,64,intersection,0.7,0.75
gray,True,2,10,ror,64,correlation,0.7,0.7666666666666667
gray,True,2,10,ror,64,bhattacharyya,0.6333333333333333,0.6611111111111111
gray,True,2,10,uniform,1,intersection,0.1,0.115
gray,True,2,10,uniform,1,correlation,0.1,0.1261111111111111
gray,True,2,10,uniform,1,bhattacharyya,0.1333333333333333,0.1583333333333333
gray,True,2,10,uniform,4,intersection,0.3,0.3177777777777777
gray,True,2,10,uniform,4,correlation,0.2666666666666666,0.2944444444444444
gray,True,2,10,uniform,4,bhattacharyya,0.3333333333333333,0.3583333333333333
gray,True,2,10,uniform,16,intersection,0.4333333333333333,0.4722222222222222
gray,True,2,10,uniform,16,correlation,0.4666666666666667,0.5666666666666667
gray,True,2,10,uniform,16,bhattacharyya,0.4666666666666667,0.4944444444444444
gray,True,2,10,uniform,64,intersection,0.6333333333333333,0.6694444444444444
gray,True,2,10,uniform,64,correlation,0.7333333333333333,0.7666666666666667
gray,True,2,10,uniform,64,bhattacharyya,0.6,0.6527777777777778
gray,True,3,12,default,1,intersection,0.6666666666666666,0.7166666666666667
gray,True,3,12,default,1,correlation,0.6,0.6511111111111111
gray,True,3,12,default,1,bhattacharyya,0.7333333333333333,0.7694444444444445
gray,True,3,12,default,4,intersection,0.8666666666666667,0.9083333333333332
gray,True,3,12,default,4,correlation,0.8333333333333334,0.8955555555555555
gray,True,3,12,default,4,bhattacharyya,0.8666666666666667,0.89
gray,True,3,12,default,16,intersection,1.0,1.0
gray,True,3,12,default,16,correlation,0.9666666666666668,0.9666666666666668
gray,True,3,12,default,16,bhattacharyya,1.0,1.0
gray,True,3,12,default,64,intersection,1.0,1.0
gray,True,3,12,default,64,correlation,0.9666666666666668,0.9733333333333332
gray,True,3,12,default,64,bhattacharyya,1.0,1.0
gray,True,3,12,ror,1,intersection,0.1666666666666666,0.2455555555555555
gray,True,3,12,ror,1,correlation,0.2,0.2344444444444444
gray,True,3,12,ror,1,bhattacharyya,0.3333333333333333,0.3677777777777777
gray,True,3,12,ror,4,intersection,0.3666666666666666,0.4194444444444444
gray,True,3,12,ror,4,correlation,0.4,0.44
gray,True,3,12,ror,4,bhattacharyya,0.4,0.4805555555555555
gray,True,3,12,ror,16,intersection,0.6666666666666666,0.6944444444444444
gray,True,3,12,ror,16,correlation,0.6333333333333333,0.675
gray,True,3,12,ror,16,bhattacharyya,0.6666666666666666,0.6833333333333333
gray,True,3,12,ror,64,intersection,0.8,0.8333333333333334
gray,True,3,12,ror,64,correlation,0.8666666666666667,0.8833333333333333
gray,True,3,12,ror,64,bhattacharyya,0.6666666666666666,0.7233333333333333
gray,True,3,12,uniform,1,intersection,0.1666666666666666,0.1777777777777777
gray,True,3,12,uniform,1,correlation,0.1666666666666666,0.1949999999999999
gray,True,3,12,uniform,1,bhattacharyya,0.1666666666666666,0.1833333333333333
gray,True,3,12,uniform,4,intersection,0.3333333333333333,0.3677777777777777
gray,True,3,12,uniform,4,correlation,0.3666666666666666,0.4166666666666667
gray,True,3,12,uniform,4,bhattacharyya,0.4,0.415
gray,True,3,12,uniform,16,intersection,0.5333333333333333,0.5833333333333334
gray,True,3,12,uniform,16,correlation,0.6666666666666666,0.7166666666666667
gray,True,3,12,uniform,16,bhattacharyya,0.5333333333333333,0.6027777777777777
gray,True,3,12,uniform,64,intersection,0.8333333333333334,0.85
gray,True,3,12,uniform,64,correlation,0.8333333333333334,0.8722222222222221
gray,True,3,12,uniform,64,bhattacharyya,0.8,0.8166666666666667
L,True,1,8,default,1,intersection,0.2333333333333333,0.29
L,True,1,8,default,1,correlation,0.2333333333333333,0.28
L,True,1,8,default,1,bhattacharyya,0.3,0.3427777777777778
L,True,1,8,default,4,intersection,0.4666666666666667,0.4833333333333333
L,True,1,8,default,4,correlation,0.4333333333333333,0.4777777777777777
L,True,1,8,default,4,bhattacharyya,0.5,0.5222222222222223
L,True,1,8,default,16,intersection,0.6,0.6388888888888888
L,True,1,8,default,16,correlation,0.5666666666666667,0.5927777777777777
L,True,1,8,default,16,bhattacharyya,0.6,0.6288888888888889
L,True,1,8,default,64,intersection,0.8666666666666667,0.9138888888888888
L,True,1,8,default,64,correlation,0.7666666666666667,0.8244444444444444
L,True,1,8,default,64,bhattacharyya,0.8333333333333334,0.8733333333333334
L,True,1,8,ror,1,intersection,0.0666666666666666,0.0888888888888888
L,True,1,8,ror,1,correlation,0.0666666666666666,0.09
L,True,1,8,ror,1,bhattacharyya,0.1,0.1111111111111111
L,True,1,8,ror,4,intersection,0.2333333333333333,0.2444444444444444
L,True,1,8,ror,4,correlation,0.2,0.2166666666666666
L,True,1,8,ror,4,bhattacharyya,0.2333333333333333,0.2511111111111111
L,True,1,8,ror,16,intersection,0.3666666666666666,0.3927777777777778
L,True,1,8,ror,16,correlation,0.3666666666666666,0.3944444444444444
L,True,1,8,ror,16,bhattacharyya,0.3333333333333333,0.3566666666666666
L,True,1,8,ror,64,intersection,0.4666666666666667,0.5
L,True,1,8,ror,64,correlation,0.4666666666666667,0.5111111111111112
L,True,1,8,ror,64,bhattacharyya,0.5,0.5177777777777778
L,True,1,8,uniform,1,intersection,0.0666666666666666,0.075
L,True,1,8,uniform,1,correlation,0.0666666666666666,0.075
L,True,1,8,uniform,1,bhattacharyya,0.0666666666666666,0.0777777777777777
L,True,1,8,uniform,4,intersection,0.2,0.2233333333333333
L,True,1,8,uniform,4,correlation,0.2,0.2361111111111111
L,True,1,8,uniform,4,bhattacharyya,0.2,0.2166666666666666
L,True,1,8,uniform,16,intersection,0.3,0.3455555555555555
L,True,1,8,uniform,16,correlation,0.3333333333333333,0.375
L,True,1,8,uniform,16,bhattacharyya,0.3333333333333333,0.3566666666666666
L,True,1,8,uniform,64,intersection,0.4666666666666667,0.4916666666666666
L,True,1,8,uniform,64,correlation,0.5,0.5333333333333333
L,True,1,8,uniform,64,bhattacharyya,0.4666666666666667,0.4916666666666666
L,True,2,10,default,1,intersection,0.5,0.5383333333333333
L,True,2,10,default,1,correlation,0.4,0.4583333333333333
L,True,2,10,default,1,bhattacharyya,0.5333333333333333,0.5661111111111111
L,True,2,10,default,4,intersection,0.6666666666666666,0.7166666666666667
L,True,2,10,default,4,correlation,0.7,0.725
L,True,2,10,default,4,bhattacharyya,0.7333333333333333,0.7611111111111111
L,True,2,10,default,16,intersection,0.9,0.9333333333333332
L,True,2,10,default,16,correlation,0.8666666666666667,0.9138888888888888
L,True,2,10,default,16,bhattacharyya,0.8,0.85
L,True,2,10,default,64,intersection,1.0,1.0
L,True,2,10,default,64,correlation,1.0,1.0
L,True,2,10,default,64,bhattacharyya,1.0,1.0
L,True,2,10,ror,1,intersection,0.1333333333333333,0.1788888888888889
L,True,2,10,ror,1,correlation,0.1333333333333333,0.1816666666666666
L,True,2,10,ror,1,bhattacharyya,0.1666666666666666,0.2133333333333333
L,True,2,10,ror,4,intersection,0.3333333333333333,0.361111111111111
L,True,2,10,ror,4,correlation,0.3333333333333333,0.3705555555555556
L,True,2,10,ror,4,bhattacharyya,0.3333333333333333,0.3983333333333333
L,True,2,10,ror,16,intersection,0.5,0.5083333333333333
L,True,2,10,ror,16,correlation,0.5,0.5344444444444444
L,True,2,10,ror,16,bhattacharyya,0.5,0.5083333333333333
L,True,2,10,ror,64,intersection,0.6333333333333333,0.7194444444444444
L,True,2,10,ror,64,correlation,0.7,0.7483333333333333
L,True,2,10,ror,64,bhattacharyya,0.6,0.6316666666666666
L,True,2,10,uniform,1,intersection,0.1,0.1277777777777777
L,True,2,10,uniform,1,correlation,0.1,0.1177777777777777
L,True,2,10,uniform,1,bhattacharyya,0.1,0.14
L,True,2,10,uniform,4,intersection,0.3,0.3233333333333333
L,True,2,10,uniform,4,correlation,0.2666666666666666,0.3
L,True,2,10,uniform,4,bhattacharyya,0.3,0.3416666666666667
L,True,2,10,uniform,16,intersection,0.4666666666666667,0.49
L,True,2,10,uniform,16,correlation,0.5333333333333333,0.5911111111111111
L,True,2,10,uniform,16,bhattacharyya,0.4666666666666667,0.4983333333333333
L,True,2,10,uniform,64,intersection,0.6,0.6472222222222221
L,True,2,10,uniform,64,correlation,0.7333333333333333,0.7566666666666666
L,True,2,10,uniform,64,bhattacharyya,0.6,0.6427777777777777
L,True,3,12,default,1,intersection,0.6666666666666666,0.711111111111111
L,True,3,12,default,1,correlation,0.6333333333333333,0.6694444444444444
L,True,3,12,default,1,bhattacharyya,0.7,0.7344444444444443
L,True,3,12,default,4,intersection,0.9,0.925
L,True,3,12,default,4,correlation,0.8,0.8722222222222221
L,True,3,12,default,4,bhattacharyya,0.8666666666666667,0.8944444444444444
L,True,3,12,default,16,intersection,1.0,1.0
L,True,3,12,default,16,correlation,0.9666666666666668,0.9666666666666668
L,True,3,12,default,16,bhattacharyya,1.0,1.0
L,True,3,12,default,64,intersection,1.0,1.0
L,True,3,12,default,64,correlation,0.9333333333333332,0.9611111111111112
L,True,3,12,default,64,bhattacharyya,1.0,1.0
L,True,3,12,ror,1,intersection,0.2,0.2594444444444444
L,True,3,12,ror,1,correlation,0.1666666666666666,0.23
L,True,3,12,ror,1,bhattacharyya,0.2666666666666666,0.3194444444444444
L,True,3,12,ror,4,intersection,0.3666666666666666,0.4138888888888888
L,True,3,12,ror,4,correlation,0.4333333333333333,0.4511111111111111
L,True,3,12,ror,4,bhattacharyya,0.4333333333333333,0.5027777777777778
L,True,3,12,ror,16,intersection,0.6666666666666666,0.6944444444444444
L,True,3,12,ror,16,correlation,0.6333333333333333,0.6861111111111111
L,True,3,12,ror,16,bhattacharyya,0.6333333333333333,0.6733333333333333
L,True,3,12,ror,64,intersection,0.8,0.8483333333333333
L,True,3,12,ror,64,correlation,0.8666666666666667,0.89
L,True,3,12,ror,64,bhattacharyya,0.6666666666666666,0.711111111111111
L,True,3,12,uniform,1,intersection,0.1,0.1527777777777778
L,True,3,12,uniform,1,correlation,0.1,0.1411111111111111
L,True,3,12,uniform,1,bhattacharyya,0.1333333333333333,0.1733333333333333
L,True,3,12,uniform,4,intersection,0.3333333333333333,0.3533333333333334
L,True,3,12,uniform,4,correlation,0.3,0.3977777777777778
L,True,3,12,uniform,4,bhattacharyya,0.3666666666666666,0.4027777777777777
L,True,3,12,uniform,16,intersection,0.5333333333333333,0.576111111111111
L,True,3,12,uniform,16,correlation,0.7,0.74
L,True,3,12,uniform,16,bhattacharyya,0.5333333333333333,0.5955555555555556
L,True,3,12,uniform,64,intersection,0.8333333333333334,0.85
L,True,3,12,uniform,64,correlation,0.8333333333333334,0.8816666666666666
L,True,3,12,uniform,64,bhattacharyya,0.7666666666666667,0.8111111111111111
V,True,1,8,default,1,intersection,0.2333333333333333,0.2827777777777778
V,True,1,8,default,1,correlation,0.2,0.2527777777777777
V,True,1,8,default,1,bhattacharyya,0.3,0.3316666666666666
V,True,1,8,default,4,intersection,0.4,0.4416666666666666
V,True,1,8,default,4,correlation,0.4,0.4555555555555556
V,True,1,8,default,4,bhattacharyya,0.4333333333333333,0.5
V,True,1,8,default,16,intersection,0.6,0.6066666666666667
V,True,1,8,default,16,correlation,0.5666666666666667,0.59
V,True,1,8,default,16,bhattacharyya,0.6,0.615
V,True,1,8,default,64,intersection,0.8333333333333334,0.9
V,True,1,8,default,64,correlation,0.7666666666666667,0.8333333333333334
V,True,1,8,default,64,bhattacharyya,0.8,0.8611111111111112
V,True,1,8,ror,1,intersection,0.0666666666666666,0.0733333333333333
V,True,1,8,ror,1,correlation,0.0666666666666666,0.0733333333333333
V,True,1,8,ror,1,bhattacharyya,0.0666666666666666,0.0844444444444444
V,True,1,8,ror,4,intersection,0.2,0.225
V,True,1,8,ror,4,correlation,0.2,0.2222222222222222
V,True,1,8,ror,4,bhattacharyya,0.2333333333333333,0.2444444444444444
V,True,1,8,ror,16,intersection,0.3333333333333333,0.3666666666666666
V,True,1,8,ror,16,correlation,0.3333333333333333,0.3833333333333333
V,True,1,8,ror,16,bhattacharyya,0.3333333333333333,0.3583333333333333
V,True,1,8,ror,64,intersection,0.4,0.4611111111111111
V,True,1,8,ror,64,correlation,0.5,0.5194444444444445
V,True,1,8,ror,64,bhattacharyya,0.4,0.4555555555555555
V,True,1,8,uniform,1,intersection,0.0666666666666666,0.0733333333333333
V,True,1,8,uniform,1,correlation,0.0666666666666666,0.0666666666666666
V,True,1,8,uniform,1,bhattacharyya,0.0666666666666666,0.0733333333333333
V,True,1,8,uniform,4,intersection,0.2,0.2194444444444444
V,True,1,8,uniform,4,correlation,0.1666666666666666,0.2066666666666666
V,True,1,8,uniform,4,bhattacharyya,0.2,0.2083333333333333
V,True,1,8,uniform,16,intersection,0.3,0.3466666666666667
V,True,1,8,uniform,16,correlation,0.3333333333333333,0.3611111111111111
V,True,1,8,uniform,16,bhattacharyya,0.3333333333333333,0.3583333333333333
V,True,1,8,uniform,64,intersection,0.4,0.4444444444444444
V,True,1,8,uniform,64,correlation,0.4666666666666667,0.5
V,True,1,8,uniform,64,bhattacharyya,0.4666666666666667,0.4944444444444444
V,True,2,10,default,1,intersection,0.3333333333333333,0.44
V,True,2,10,default,1,correlation,0.3,0.3816666666666666
V,True,2,10,default,1,bhattacharyya,0.5,0.5277777777777778
V,True,2,10,default,4,intersection,0.6666666666666666,0.7083333333333334
V,True,2,10,default,4,correlation,0.6333333333333333,0.7055555555555555
V,True,2,10,default,4,bhattacharyya,0.6333333333333333,0.6861111111111111
V,True,2,10,default,16,intersection,0.8666666666666667,0.9111111111111112
V,True,2,10,default,16,correlation,0.8666666666666667,0.925
V,True,2,10,default,16,bhattacharyya,0.7666666666666667,0.8277777777777777
V,True,2,10,default,64,intersection,1.0,1.0
V,True,2,10,default,64,correlation,1.0,1.0
V,True,2,10,default,64,bhattacharyya,1.0,1.0
V,True,2,10,ror,1,intersection,0.1,0.1444444444444444
V,True,2,10,ror,1,correlation,0.1,0.15
V,True,2,10,ror,1,bhattacharyya,0.1,0.1622222222222222
V,True,2,10,ror,4,intersection,0.2666666666666666,0.3066666666666666
V,True,2,10,ror,4,correlation,0.2,0.2638888888888889
V,True,2,10,ror,4,bhattacharyya,0.3,0.3483333333333333
V,True,2,10,ror,16,intersection,0.4666666666666667,0.4944444444444444
V,True,2,10,ror,16,correlation,0.3666666666666666,0.4416666666666666
V,True,2,10,ror,16,bhattacharyya,0.4666666666666667,0.4833333333333333
V,True,2,10,ror,64,intersection,0.6666666666666666,0.7122222222222222
V,True,2,10,ror,64,correlation,0.6333333333333333,0.7055555555555555
V,True,2,10,ror,64,bhattacharyya,0.6,0.6388888888888888
V,True,2,10,uniform,1,intersection,0.0333333333333333,0.0916666666666666
V,True,2,10,uniform,1,correlation,0.0666666666666666,0.1027777777777777
V,True,2,10,uniform,1,bhattacharyya,0.1,0.1344444444444444
V,True,2,10,uniform,4,intersection,0.1666666666666666,0.2177777777777777
V,True,2,10,uniform,4,correlation,0.2333333333333333,0.2666666666666666
V,True,2,10,uniform,4,bhattacharyya,0.2,0.2427777777777778
V,True,2,10,uniform,16,intersection,0.3666666666666666,0.4111111111111111
V,True,2,10,uniform,16,correlation,0.5,0.5583333333333333
V,True,2,10,uniform,16,bhattacharyya,0.4333333333333333,0.4649999999999999
V,True,2,10,uniform,64,intersection,0.6,0.6472222222222223
V,True,2,10,uniform,64,correlation,0.7,0.7333333333333333
V,True,2,10,uniform,64,bhattacharyya,0.5666666666666667,0.6333333333333333
V,True,3,12,default,1,intersection,0.6,0.6555555555555554
V,True,3,12,default,1,correlation,0.5333333333333333,0.591111111111111
V,True,3,12,default,1,bhattacharyya,0.6333333333333333,0.6944444444444444
V,True,3,12,default,4,intersection,0.9,0.915
V,True,3,12,default,4,correlation,0.9,0.9166666666666666
V,True,3,12,default,4,bhattacharyya,0.8333333333333334,0.8555555555555555
V,True,3,12,default,16,intersection,1.0,1.0
V,True,3,12,default,16,correlation,0.9333333333333332,0.9666666666666668
V,True,3,12,default,16,bhattacharyya,0.9666666666666668,0.9833333333333332
V,True,3,12,default,64,intersection,1.0,1.0
V,True,3,12,default,64,correlation,1.0,1.0
V,True,3,12,default,64,bhattacharyya,1.0,1.0
V,True,3,12,ror,1,intersection,0.2,0.2444444444444444
V,True,3,12,ror,1,correlation,0.2,0.2111111111111111
V,True,3,12,ror,1,bhattacharyya,0.2666666666666666,0.3
V,True,3,12,ror,4,intersection,0.3,0.3511111111111111
V,True,3,12,ror,4,correlation,0.2666666666666666,0.311111111111111
V,True,3,12,ror,4,bhattacharyya,0.3,0.3594444444444444
V,True,3,12,ror,16,intersection,0.5333333333333333,0.6277777777777778
V,True,3,12,ror,16,correlation,0.5,0.5916666666666667
V,True,3,12,ror,16,bhattacharyya,0.6,0.6483333333333333
V,True,3,12,ror,64,intersection,0.8333333333333334,0.861111111111111
V,True,3,12,ror,64,correlation,0.8333333333333334,0.8666666666666667
V,True,3,12,ror,64,bhattacharyya,0.7,0.7527777777777778
V,True,3,12,uniform,1,intersection,0.1,0.1277777777777777
V,True,3,12,uniform,1,correlation,0.1333333333333333,0.1577777777777777
V,True,3,12,uniform,1,bhattacharyya,0.1333333333333333,0.1611111111111111
V,True,3,12,uniform,4,intersection,0.2333333333333333,0.2666666666666666
V,True,3,12,uniform,4,correlation,0.2666666666666666,0.3261111111111111
V,True,3,12,uniform,4,bhattacharyya,0.2333333333333333,0.2777777777777777
V,True,3,12,uniform,16,intersection,0.3666666666666666,0.4577777777777778
V,True,3,12,uniform,16,correlation,0.7,0.725
V,True,3,12,uniform,16,bhattacharyya,0.4666666666666667,0.5372222222222223
V,True,3,12,uniform,64,intersection,0.8,0.8416666666666667
V,True,3,12,uniform,64,correlation,0.8333333333333334,0.8666666666666667
V,True,3,12,uniform,64,bhattacharyya,0.8,0.8444444444444444
